epoch,phase,layer,stage,mae,rmse,relative_l1,relative_l2,max_abs,samples,batches,numel
19,train,encoder.layers.0.attention.attention,qk_scores,0.47569155078794895,0.8150555707777124,0.09872199964992116,0.1487795108712593,4.125232219696045,29000,454,182002240
19,train,encoder.layers.0.attention.attention,softmax_probs,0.002044592315090272,0.010926907310535491,0.05785165869129884,0.07033884016145632,0.5736807584762573,29000,454,182002240
19,train,encoder.layers.0.attention.attention,attention_output,0.027999367456721772,0.049863796715742606,0.7112048595431908,0.38878920223133223,3.2422616481781006,29000,454,411668480
19,train,encoder.layers.1.attention.attention,qk_scores,0.16265730070178325,0.2845414879533867,0.13457740002246907,0.15190862279521125,2.5226850509643555,29000,454,182002240
19,train,encoder.layers.1.attention.attention,softmax_probs,0.0028786611426805694,0.010601655449917716,0.08145160318031802,0.11842541564334527,0.35568132996559143,29000,454,182002240
19,train,encoder.layers.1.attention.attention,attention_output,0.035409536295747,0.06217733132103508,0.22891532647497248,0.24803868150483402,1.7611171007156372,29000,454,411668480
19,train,encoder.layers.2.attention.attention,qk_scores,0.04630132115629606,0.1218823917203668,0.10675363731150407,0.11101327838108274,1.6615138053894043,29000,454,182002240
19,train,encoder.layers.2.attention.attention,softmax_probs,0.0008401417320298455,0.004588040877887402,0.02377177707995119,0.06848589611211106,0.17713859677314758,29000,454,182002240
19,train,encoder.layers.2.attention.attention,attention_output,0.01701857040701894,0.03162178382346234,0.3503891270435065,0.2703004810768333,0.8820707201957703,29000,454,411668480
19,train,encoder.layers.3.attention.attention,qk_scores,0.001435344147037514,0.003915640162050404,0.06931721233609273,0.09583953350029198,0.11216962337493896,29000,454,182002240
19,train,encoder.layers.3.attention.attention,softmax_probs,8.213981688628871e-05,0.0002568923782411811,0.0023241428701455103,0.00499166694581963,0.012796878814697266,29000,454,182002240
19,train,encoder.layers.3.attention.attention,attention_output,0.006623935294278961,0.008898871093479546,0.49623851022968013,0.4744836207244258,0.13072745501995087,29000,454,411668480
19,train,encoder.layers.4.attention.attention,qk_scores,0.003690277418779071,0.010020126736377545,0.12695750057247887,0.18868741601997974,0.14640703797340393,29000,454,182002240
19,train,encoder.layers.4.attention.attention,softmax_probs,0.00016907539903316613,0.0004832757689520517,0.0047839817286655624,0.009379676919651738,0.016783446073532104,29000,454,182002240
19,train,encoder.layers.4.attention.attention,attention_output,0.006907582793785656,0.009475815140345546,0.5298706753793441,0.5534852298712787,0.1334703415632248,29000,454,411668480
19,train,encoder.layers.5.attention.attention,qk_scores,0.01663200862318518,0.0638864743937782,0.08676404309713089,0.09431943381620496,0.7024750709533691,29000,454,182002240
19,train,encoder.layers.5.attention.attention,softmax_probs,0.0002608727137937572,0.0015305791265805343,0.007381383119207799,0.028413757053978483,0.10389691591262817,29000,454,182002240
19,train,encoder.layers.5.attention.attention,attention_output,0.012241803604176694,0.018786282943821182,0.5869350230389997,0.39161646169561704,0.5190473794937134,29000,454,411668480
19,train,decoder.layers.0.attention.attention,qk_scores,0.16951572330572265,0.29207662611741925,0.06206875375955687,0.09817530829172481,2.827604055404663,29000,454,175134272
19,train,decoder.layers.0.attention.attention,softmax_probs,0.0016970159165512434,0.0075402818806141495,0.047127862997784896,0.04960353451092265,0.4667890667915344,29000,454,175134272
19,train,decoder.layers.0.attention.attention,attention_output,0.028173115391497867,0.04494707799135215,0.7282903836103124,0.3635534857813957,2.3427281379699707,29000,454,403607552
19,train,decoder.layers.0.crossattention.attention,qk_scores,0.014905958683841763,0.03514666721177518,0.09951097985299998,0.09932854597091652,0.4731602668762207,29000,454,177554496
19,train,decoder.layers.0.crossattention.attention,softmax_probs,0.00034941555891245993,0.0012730274770905512,0.009837723307180952,0.02413554972002813,0.0709460973739624,29000,454,177554496
19,train,decoder.layers.0.crossattention.attention,attention_output,0.01963242992462503,0.026247956986981662,0.5979728041710805,0.3523365945967825,0.5873006582260132,29000,454,403607552
19,train,decoder.layers.1.attention.attention,qk_scores,0.06993784315856906,0.13315810563390493,0.13316221648937224,0.1280509889168761,1.3516473770141602,29000,454,175134272
19,train,decoder.layers.1.attention.attention,softmax_probs,0.0014572036836816397,0.00522441579744382,0.040468032677018255,0.06224228956560979,0.1857222020626068,29000,454,175134272
19,train,decoder.layers.1.attention.attention,attention_output,0.027909553977574685,0.0460158143294303,0.4066954173958675,0.31216392415361416,0.9850389957427979,29000,454,403607552
19,train,decoder.layers.1.crossattention.attention,qk_scores,2.184866844691028e-06,9.350158724349518e-06,0.07302595495465843,0.06893041389102766,0.0005896985530853271,29000,454,177554496
19,train,decoder.layers.1.crossattention.attention,softmax_probs,7.868801123338167e-08,5.674945354884013e-07,2.215444797351728e-06,1.1018555630018129e-05,5.619227886199951e-05,29000,454,177554496
19,train,decoder.layers.1.crossattention.attention,attention_output,0.007094387757714896,0.009478674050844134,0.5036472982868665,0.4096986803659711,0.13271811604499817,29000,454,403607552
19,train,decoder.layers.2.attention.attention,qk_scores,0.049395425162287676,0.09398782080300495,0.08420706430109402,0.08458314290597439,1.165109634399414,29000,454,175134272
19,train,decoder.layers.2.attention.attention,softmax_probs,0.0009702354449784114,0.00369076784820437,0.026944427969457244,0.041886029131462846,0.16120660305023193,29000,454,175134272
19,train,decoder.layers.2.attention.attention,attention_output,0.017924953203496387,0.033560288242526805,0.2669236968742926,0.25000925761395976,0.6892107725143433,29000,454,403607552
19,train,decoder.layers.2.crossattention.attention,qk_scores,0.007476882257934275,0.02823758361899837,0.08585568758294622,0.08577202119805244,0.6543254852294922,29000,454,177554496
19,train,decoder.layers.2.crossattention.attention,softmax_probs,0.0001761363658224098,0.0011866918228199438,0.004959083209363868,0.021858865608799273,0.1103672981262207,29000,454,177554496
19,train,decoder.layers.2.crossattention.attention,attention_output,0.011605495117648664,0.01968364486089927,0.5964577528330132,0.3852580182605377,0.7032465934753418,29000,454,403607552
19,train,decoder.layers.3.attention.attention,qk_scores,0.10250296776132287,0.17921885236194104,0.11206589060168723,0.12044467674652515,1.4831697940826416,29000,454,175134272
19,train,decoder.layers.3.attention.attention,softmax_probs,0.002140855074231074,0.0075417836050989335,0.05945372913267432,0.07473110650410157,0.20919176936149597,29000,454,175134272
